	terminology	system	dataset	pair	chrf	comet	cometkiwi	consistency	regex	fuzzy90	tok_regex	tok_fuzzy90
13	rand	DCU-TU-TR	test	de-en	63.08530774553036	0.8419804406746496	0.8164556574508939	0.7858942065491183	0.8865740740740741	0.8865740740740741	0.914351851851852	0.8958333333333334
14	base	HW-TSC	test	zh-en	36.17225836445583	0.6792333524897113	0.6985207225381036	0.6011994002998501	0.352185089974293	0.3645244215938303	0.4082262210796915	0.3866323907455012
15	base	TSSNMT	blind	zh-en	34.718221047653	0.7008563945336002	0.723703666457108	0.8000000000000002	0.2205882352941176	0.2352941176470588	0.2647058823529412	0.2647058823529412
16	base	opuscat-terms	blind	de-en	53.58050992413652	0.7902331468592344	0.8182460971206952	0.5407373271889401	0.3704323324821696	0.4435150127674562	0.3974641190455226	0.4426344985471515
17	base	uedin_twoshot	blind	zh-en	26.694272965272592	0.5719522027815073	0.56173848810177	0.3451834862385321	0.1195465475781518	0.1958090003435245	0.1301958090003435	0.1903126073514256
18	rand	TSSNMT_filtered	test	zh-en	37.53236569564032	0.7202586220658344	0.7295260908810989	1.0	0.0408163265306122	0.0408163265306122	0.0408163265306122	0.0408163265306122
19	rand	BJTU-LB_system1	test	zh-en	42.81359370306733	0.7483248747639911	0.7402497708573167	0.30666666666666664	0.0542465753424657	0.0646575342465753	0.0761643835616438	0.0761643835616438
20	rand	uedin_llm_improved	test	de-en	61.57070345761774	0.8454153984226984	0.8207111099686069	0.7783375314861462	0.8055555555555556	0.8055555555555556	0.8287037037037037	0.8009259259259259
21	term	lc_wmt23_single	blind	en-cs	67.67235769244309	0.8336176895803217	0.7747331798446845	0.765926358854471	0.6051195181629965	0.6561264822134387	0.6395633352155091	0.6618671183888575
22	term	uedin_decode_tag	blind	zh-en	34.39369168649099	0.6514565065976173	0.6411484685682115	0.6227064220183486	0.4369632428718653	0.6162830642390931	0.447612504294057	0.5362418412916523
